ProjectName,Context,DepositType,UnitType,DAACSPhase,Count,ArtifactType,ArtifactCategory
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,11,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,2,"Bottle, Mineral/Soda",Glass
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,16,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,4,Unidentifiable,Glass
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,"Bead, Sub-Spherical",Bead
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,Redware,Ceramic
Stewart Castle Village,3-L-10,Not Applicable,STP,,3,Domestic Cow,Faunal
Stewart Castle Village,3-L-10,Not Applicable,STP,,2,Domestic Pig,Faunal
Stewart Castle Village,3-L-10,Not Applicable,STP,,5,Large Mammal,Faunal
Stewart Castle Village,3-L-10,Not Applicable,STP,,6,Mammal,Faunal
Stewart Castle Village,3-L-10,Not Applicable,STP,,21,Nail,General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,4,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,6,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,2,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,3,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,4,Unidentified,General Artifacts
Stewart Castle Village,3-L-10,Not Applicable,STP,,2,Tumbler,Glass
Stewart Castle Village,3-L-10,Not Applicable,STP,,2,Unidentifiable,Glass
Stewart Castle Village,3-L-10,Not Applicable,STP,,1,"Utensil, Knife, 2 Piece",Utensil
Stewart Castle Village,3-L-11,Not Applicable,STP,,5,Pearlware,Ceramic
Stewart Castle Village,3-L-11,Not Applicable,STP,,1,Brick Fragment,General Artifacts
Stewart Castle Village,3-L-11,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-L-11,Not Applicable,STP,,12,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-11,Not Applicable,STP,,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-L-11,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,5,British Stoneware,Ceramic
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,2,Creamware,Ceramic
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,8,Pearlware,Ceramic
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,Bony Fish,Faunal
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,Domestic Cat,Faunal
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,Medium Mammal,Faunal
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,16,Nail,General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,14,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,30,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,5,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,6,Unidentified,General Artifacts
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,7,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,3-L-12,Not Applicable,STP,P02,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-L-13,Not Applicable,STP,,1,"Button, Flat Disc",Button
Stewart Castle Village,3-L-13,Not Applicable,STP,,2,British Stoneware,Ceramic
Stewart Castle Village,3-L-13,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-L-13,Not Applicable,STP,,2,Pearlware,Ceramic
Stewart Castle Village,3-L-13,Not Applicable,STP,,1,Spanish Coarse Earthenware,Ceramic
Stewart Castle Village,3-L-13,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,1,Scrap/Waste,General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,17,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,5,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,15,Strapping,General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,1,"Tool, other",General Artifacts
Stewart Castle Village,3-L-13,Not Applicable,STP,,5,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-14,Not Applicable,STP,,2,Charcoal,General Artifacts
Stewart Castle Village,3-L-14,Not Applicable,STP,,17,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-16,Not Applicable,STP,,3,Creamware,Ceramic
Stewart Castle Village,3-L-16,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-L-16,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-L-16,Not Applicable,STP,,3,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-16,Not Applicable,STP,,3,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,3-L-16,Not Applicable,STP,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-16,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-L-16,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-17,Not Applicable,STP,,2,Pearlware,Ceramic
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,Redware,Ceramic
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,Large Mammal,Faunal
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,Brick/Daub,General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,Brick Fragment,General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,11,Nail,General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,"Rivet, hardware",General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,3,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,8,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,2,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,Sickle,General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,"Slate, architectural",General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,102,Unidentified,General Artifacts
Stewart Castle Village,3-L-17,Not Applicable,STP,,25,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-17,Not Applicable,STP,,2,"Tableware, unidentifiable",Glass
Stewart Castle Village,3-L-17,Not Applicable,STP,,5,Unidentifiable,Glass
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-L-17,Not Applicable,STP,,1,"Utensil, 1 Piece: Unid",Utensil
Stewart Castle Village,3-L-17,Not Applicable,STP,,2,"Utensil, Spoon, 1 Piece",Utensil
Stewart Castle Village,3-L-18,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-L-18,Not Applicable,STP,,4,Nail,General Artifacts
Stewart Castle Village,3-L-18,Not Applicable,STP,,162,Sheeting,General Artifacts
Stewart Castle Village,3-L-18,Not Applicable,STP,,4,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-18,Not Applicable,STP,,2,Unidentified,General Artifacts
Stewart Castle Village,3-L-18,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-19,Not Applicable,STP,,2,Creamware,Ceramic
Stewart Castle Village,3-L-19,Not Applicable,STP,,1,Large Mammal,Faunal
Stewart Castle Village,3-L-19,Not Applicable,STP,,1,Charcoal,General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,25,Nail,General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,1,Scrap/Waste,General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,7,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,2,"Shell, conch",General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,6,Unidentified,General Artifacts
Stewart Castle Village,3-L-19,Not Applicable,STP,,1,Flake,Lithic
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,Creamware,Ceramic
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,3,Pearlware,Ceramic
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,3,Redware,Ceramic
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,Bony Fish,Faunal
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,Blade,General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,"Handle, unidentified",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,25,Nail,General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,17,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,5,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,27,Unidentified,General Artifacts
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,4,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,1,Flake,Lithic
Stewart Castle Village,3-L-20,Not Applicable,STP,P01,3,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-01,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-M-01,Not Applicable,STP,,4,Nail,General Artifacts
Stewart Castle Village,3-M-01,Not Applicable,STP,,2,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-01,Not Applicable,STP,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-01,Not Applicable,STP,,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-M-01,Not Applicable,STP,,3,Strapping,General Artifacts
Stewart Castle Village,3-M-01,Not Applicable,STP,,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-01,Not Applicable,STP,,1,"Tobacco Pipe, Stem, Bowl",Tobacco Pipe
Stewart Castle Village,3-M-03,Not Applicable,STP,P01,6,Creamware,Ceramic
Stewart Castle Village,3-M-03,Not Applicable,STP,P01,1,Redware,Ceramic
Stewart Castle Village,3-M-03,Not Applicable,STP,P01,1,Nail,General Artifacts
Stewart Castle Village,3-M-03,Not Applicable,STP,P01,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-03,Not Applicable,STP,P01,4,Unidentified,General Artifacts
Stewart Castle Village,3-M-04,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,6,Creamware,Ceramic
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,5,German Stoneware,Ceramic
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,1,Pearlware,Ceramic
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,1,Mammal,Faunal
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,4,Nail,General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,8,Pot/Pan,General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,97,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,3,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,2,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,39,Unidentified,General Artifacts
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,3,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-M-05,Not Applicable,STP,P01,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,8,Creamware,Ceramic
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,German Stoneware,Ceramic
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,9,Pearlware,Ceramic
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,"Slipware, North Midlands/Staffordshire",Ceramic
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,White Salt Glaze,Ceramic
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,4,Bony Fish,Faunal
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,2,Brick Bat,General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,2,Charcoal,General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,9,Nail,General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,38,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,5,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,6,Unidentified,General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,Window Glass,General Artifacts
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,"Bottle, Case",Glass
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,53,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,1,"Tableware, unidentifiable",Glass
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,4,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-M-06,Not Applicable,STP,P01,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,2,Creamware,Ceramic
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,6,Pearlware,Ceramic
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,White Salt Glaze,Ceramic
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,Bony Fish,Faunal
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,Rats,Faunal
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,Charcoal,General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,16,Nail,General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,19,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,Strapping,General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,Thimble,General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,16,Unidentified,General Artifacts
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,11,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-07,Not Applicable,STP,P02,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,10,Creamware,Ceramic
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,1,Pearlware,Ceramic
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,1,Brick Fragment,General Artifacts
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,1,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,7,Nail,General Artifacts
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,2,Strapping,General Artifacts
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,15,Unidentified,General Artifacts
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,4,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,1,"Tableware, unidentifiable",Glass
Stewart Castle Village,3-M-08,Not Applicable,STP,P01,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Bead, Spherical",Bead
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Button, FD concave back",Button
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,Creamware,Ceramic
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,11,Pearlware,Ceramic
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,Whiteware,Ceramic
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,Chicken,Faunal
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,6,Nail,General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,Pot,General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,48,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,2,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,9,Unidentified,General Artifacts
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,4,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Tableware, unidentifiable",Glass
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-M-09,Not Applicable,STP,P02,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-10,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-M-10,Not Applicable,STP,,2,Pearlware,Ceramic
Stewart Castle Village,3-M-10,Not Applicable,STP,,37,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-M-10,Not Applicable,STP,,3,Nail,General Artifacts
Stewart Castle Village,3-M-10,Not Applicable,STP,,1,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-M-10,Not Applicable,STP,,29,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-10,Not Applicable,STP,,5,Unidentified,General Artifacts
Stewart Castle Village,3-M-10,Not Applicable,STP,,2,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,British Stoneware,Ceramic
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,Creamware,Ceramic
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,7,Pearlware,Ceramic
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,2,"Slipware, North Italian",Ceramic
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,2,Domestic Pig,Faunal
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,5,Corrosion/Rust,General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,13,Nail,General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,5,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,3,Unidentified,General Artifacts
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,3,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Tableware, unidentifiable",Glass
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,1,"Tobacco Pipe, Mouthpiece, Stem",Tobacco Pipe
Stewart Castle Village,3-M-11,Not Applicable,STP,P02,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,3-M-12,Not Applicable,STP,,1,Celt,Lithic
Stewart Castle Village,3-M-13,Not Applicable,STP,,2,Creamware,Ceramic
Stewart Castle Village,3-M-13,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-M-13,Not Applicable,STP,,10,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-13,Not Applicable,STP,,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-M-15,Not Applicable,STP,,2,Charcoal,General Artifacts
Stewart Castle Village,3-M-16,Not Applicable,STP,,4,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-16,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-M-17,Not Applicable,STP,,3,Nail,General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,1,Pot/Pan,General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,1,"Rivet, hardware",General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,23,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,4,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,6,Unidentified,General Artifacts
Stewart Castle Village,3-M-17,Not Applicable,STP,,22,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-19,Not Applicable,STP,,9,Nail,General Artifacts
Stewart Castle Village,3-M-19,Not Applicable,STP,,17,Scrap/Waste,General Artifacts
Stewart Castle Village,3-M-19,Not Applicable,STP,,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-19,Not Applicable,STP,,1,"Slate, architectural",General Artifacts
Stewart Castle Village,3-M-19,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,Whiteware,Ceramic
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,Medium Mammal,Faunal
Stewart Castle Village,3-M-20,Not Applicable,STP,,9,Nail,General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,3,Scrap/Waste,General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,"Shell, chiton segment",General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,33,"Shell, clam",General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,7,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,3-M-20,Not Applicable,STP,,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,British Stoneware,Ceramic
Stewart Castle Village,3-N-01,Not Applicable,STP,,3,Pearlware,Ceramic
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,Whiteware,Ceramic
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,Sheeting,General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,2,"Shell, clam",General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-N-01,Not Applicable,STP,,5,"Bottle, Wine style",Glass
Stewart Castle Village,3-N-02,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-N-02,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-N-02,Not Applicable,STP,,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-N-03,Not Applicable,STP,,1,"Buckle, Unid: Harness/Util.",Buckle
Stewart Castle Village,3-N-03,Not Applicable,STP,,3,Creamware,Ceramic
Stewart Castle Village,3-N-03,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-N-03,Not Applicable,STP,,10,Nail,General Artifacts
Stewart Castle Village,3-N-03,Not Applicable,STP,,3,"Shell, clam",General Artifacts
Stewart Castle Village,3-N-03,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-N-03,Not Applicable,STP,,3,"Bottle, Wine style",Glass
Stewart Castle Village,3-N-03,Not Applicable,STP,,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-N-04,Not Applicable,STP,,3,Nail,General Artifacts
Stewart Castle Village,3-N-04,Not Applicable,STP,,3,"Shell, clam",General Artifacts
Stewart Castle Village,3-N-04,Not Applicable,STP,,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-N-04,Not Applicable,STP,,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-N-04,Not Applicable,STP,,1,"Weight, fishing",General Artifacts
Stewart Castle Village,3-N-05,Not Applicable,STP,,2,Creamware,Ceramic
Stewart Castle Village,3-N-05,Not Applicable,STP,,2,Pearlware,Ceramic
Stewart Castle Village,3-N-05,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-N-05,Not Applicable,STP,,11,"Shell, clam",General Artifacts
Stewart Castle Village,3-N-05,Not Applicable,STP,,5,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-N-05,Not Applicable,STP,,1,"Slate, architectural",General Artifacts
